,단어,빈도
1393,고립감이,1
1394,고마웠다,1
1395,고맙다,2
1396,고맙다는,1
1397,고맙습니다,6
1398,고문,2
1399,고문은,7
1400,고문을,1
1401,고문이,1
1402,고물가,4
1403,고물가와,1
1404,고민,1
1405,고민될,1
1406,고민을,5
1407,고민이,5
1408,고민입니다,1
1409,고민하고,1
1410,고민한다고,1
1411,고민할,2
1412,고민해보자고,1
1413,고민해야,4
1414,고발,1
1415,고발로,1
1416,고발을,1
1417,고발한,1
1418,고발했다,2
1419,고발했을,1
1420,고백이,1
1421,고백하라,1
1422,고백한,1
1423,고범준,1
1424,고비를,2
1425,고사하겠다는,3
1426,고사한,1
1427,고상민,4
1428,고생,1
1429,고생했던,1
1430,고석현,3
1431,고성군,1
1432,고성방가와,2
1433,고성에서,1
1434,고성호,1
1435,고소,1
1436,고소하겠다,1
1437,고소한,1
1438,고소했는지,1
1439,고속도로기,1
1440,고수하고,2
1441,고수하면서,1
1442,고스톱입니까,1
1443,고시를,1
1444,고심이,2
1445,고심하고,1
1446,고심하면서,1
1447,고언이랍시고,1
1448,고영인,4
1449,고요,1
1450,고용에서도,1
1451,고위,8
1452,고위공직,1
1453,고위험자로,1
1454,고유,1
1455,고유가시대에,1
1456,고은빛,1
1457,고의적인,1
1458,고인,3
1459,고인을,1
1460,고인이,5
1461,고장,2
1462,고정불변으로,1
1463,고조되고,1
1464,고지,1
1465,고지가,1
1466,고집부리면,1
1467,고집을,2
1468,고집해,1
1469,고집해야,1
1470,고쳐,1
1471,고쳐본,3
1472,고쳐서,1
1473,고쳐쓸,1
1474,고치거나,1
1475,고치기가,1
1476,고치기는,1
1477,고치시란,1
1478,고치시지,1
1479,고칠,1
1480,고칩니까,1
1481,고통,1
1482,고통스럽게,1
1483,고통스럽다,1
1484,고통은,1
1485,고통을,1
1486,고통의,1
1487,고팍스,1
1488,고혜지,1
1489,고환율,2
1490,곡사포,1
1491,곤두세웠을,1
1492,곤란,1
1493,곤란한,1
1494,곤혹스러운,2
1495,곧바로,3
1496,골고루,1
1497,골이,1
1498,골자로,1
1499,곱게,1
1500,곳마다,1
1501,곳에,3
1502,곳에는,1
1503,곳에서,5
